date,basis_binance,basis_deribit,basis_3m
2021-11-26,7.7688,7.7045,7.7367
2021-11-27,8.2252,8.3565,8.2908
2021-11-28,11.8354,10.4605,11.148
2021-11-29,11.265,8.8645,10.0648
2021-11-30,12.1398,9.7663,10.9531
2021-12-01,11.6844,9.5546,10.6195
2021-12-02,9.6737,8.1607,8.9172
2021-12-03,6.4509,5.7953,6.1231
2021-12-04,6.1955,5.7631,5.9793
2021-12-05,6.2034,6.3869,6.2952
2021-12-06,7.1606,8.6146,7.8876
2021-12-07,8.1944,8.868,8.5312
2021-12-08,8.1251,8.8934,8.5092
2021-12-09,8.3974,8.4393,8.4184
2021-12-10,7.8145,7.1876,7.501
2021-12-11,7.977,7.1443,7.5606
2021-12-12,7.3953,7.286,7.3407
2021-12-13,6.3748,6.4521,6.4134
2021-12-14,8.1133,7.5672,7.8403
2021-12-15,8.6891,8.2544,8.4718
2021-12-16,8.1035,7.3709,7.7372
2021-12-17,8.0504,6.6883,7.3693
2021-12-18,8.766,6.9048,7.8354
2021-12-19,8.9765,7.0265,8.0015
2021-12-20,9.373,8.0221,8.6975
2021-12-21,9.2135,7.6984,8.4559
2021-12-22,9.5166,8.0352,8.7759
2021-12-23,10.8053,7.9392,9.3722
2021-12-24,10.6616,9.1198,9.8907
2021-12-25,10.3111,8.6534,9.4823
2021-12-26,10.0992,8.6374,9.3683
2021-12-27,10.0813,8.5825,9.3319
2021-12-28,8.8356,7.8056,8.3206
2021-12-29,7.0407,6.8111,6.9259
2021-12-30,7.0293,6.2574,6.6434
2021-12-31,7.8183,6.88,7.3491
2022-01-01,8.0214,7.8928,7.9571
2022-01-02,7.7542,7.9067,7.8305
2022-01-03,9.1683,8.2701,8.7192
2022-01-04,9.3282,8.4386,8.8834
2022-01-05,8.6711,7.4241,8.0476
2022-01-06,7.5955,6.7501,7.1728
2022-01-07,7.7558,6.5503,7.1531
2022-01-08,7.4878,6.5783,7.033
2022-01-09,7.2951,6.411,6.8531
2022-01-10,6.9649,6.3447,6.6548
2022-01-11,7.1505,7.0774,7.1139
2022-01-12,6.3797,5.9552,6.1675
2022-01-13,6.1745,5.7138,5.9442
2022-01-14,6.2095,5.9871,6.0983
2022-01-15,6.4978,6.7825,6.6401
2022-01-16,6.3246,6.2678,6.2962
2022-01-17,5.1514,5.3679,5.2596
2022-01-18,5.3709,5.573,5.4719
2022-01-19,4.4832,4.4011,4.4421
2022-01-20,4.1861,3.679,3.9325
2022-01-21,3.2959,3.1234,3.2096
2022-01-22,5.0545,5.6699,5.3622
2022-01-23,5.5661,6.3915,5.9788
2022-01-24,4.4686,5.1561,4.8124
2022-01-25,4.8519,5.7416,5.2968
2022-01-26,4.2655,5.1856,4.7255
2022-01-27,3.6391,5.159,4.399
2022-01-28,3.4729,4.7835,4.1282
2022-01-29,3.7466,5.1236,4.4351
2022-01-30,3.2372,4.8436,4.0404
2022-01-31,4.1589,5.2868,4.7229
2022-02-01,3.6224,5.2293,4.4259
2022-02-02,3.6,4.7496,4.1748
2022-02-03,3.7649,4.5569,4.1609
2022-02-04,4.2713,5.0687,4.67
2022-02-05,3.3735,4.0641,3.7188
2022-02-06,3.7667,4.241,4.0038
2022-02-07,3.7064,4.0473,3.8769
2022-02-08,2.8357,3.039,2.9374
2022-02-09,2.6208,2.6971,2.659
2022-02-10,2.5398,3.2286,2.8842
2022-02-11,2.5595,2.9082,2.7338
2022-02-12,2.7065,2.7754,2.7409
2022-02-13,2.5064,3.1145,2.8104
2022-02-14,2.9311,3.5121,3.2216
2022-02-15,2.6484,3.2202,2.9343
2022-02-16,2.7773,3.5557,3.1665
2022-02-17,1.8755,2.5778,2.2267
2022-02-18,2.5211,3.4209,2.971
2022-02-19,2.4574,3.4765,2.9669
2022-02-20,2.3531,2.819,2.5861
2022-02-21,1.6008,3.1949,2.3979
2022-02-22,1.8066,2.8211,2.3138
2022-02-23,2.0207,2.7354,2.378
2022-02-24,1.2896,3.798,2.5438
2022-02-25,1.7409,3.365,2.5529
2022-02-26,0.8579,2.5149,1.6864
2022-02-27,0.6248,2.1334,1.3791
2022-02-28,2.1319,3.1956,2.6638
2022-03-01,2.0637,2.7888,2.4262
2022-03-02,2.3879,2.801,2.5944
2022-03-03,2.823,3.4235,3.1232
2022-03-04,2.4822,2.462,2.4721
2022-03-05,2.6184,2.668,2.6432
2022-03-06,2.413,2.3992,2.4061
2022-03-07,2.0686,3.3695,2.719
2022-03-08,2.3133,2.4845,2.3989
2022-03-09,2.8461,2.9063,2.8762
2022-03-10,1.8032,2.2627,2.0329
2022-03-11,2.3476,3.2117,2.7796
2022-03-12,2.191,1.572,1.8815
2022-03-13,1.8918,2.3688,2.1303
2022-03-14,3.5781,3.0741,3.3261
2022-03-15,3.595,3.5119,3.5534
2022-03-16,3.7555,3.1664,3.461
2022-03-17,3.0619,2.6692,2.8655
2022-03-18,4.1177,3.8459,3.9818
2022-03-19,3.3407,3.8458,3.5932
2022-03-20,3.8058,3.6285,3.7172
2022-03-21,2.9202,3.0767,2.9984
2022-03-22,4.2221,5.0422,4.6321
2022-03-23,4.4102,5.0659,4.738
2022-03-24,3.9596,4.5296,4.2446
2022-03-25,4.5538,5.2777,4.9157
2022-03-26,4.5602,5.115,4.8376
2022-03-27,4.42,5.0163,4.7182
2022-03-28,4.7306,5.0477,4.8892
2022-03-29,4.7529,5.2461,4.9995
2022-03-30,4.9118,5.2208,5.0663
2022-03-31,4.8633,5.2943,5.0788
2022-04-01,4.6637,5.1796,4.9217
2022-04-02,4.889,5.5811,5.235
2022-04-03,5.3449,5.7924,5.5686
2022-04-04,5.3983,6.1307,5.7645
2022-04-05,5.0574,5.4465,5.252
2022-04-06,4.0122,4.7406,4.3764
2022-04-07,3.9721,4.5429,4.2575
2022-04-08,2.8424,3.881,3.3617
2022-04-09,3.0836,4.0807,3.5821
2022-04-10,3.5303,3.7374,3.6338
2022-04-11,2.9448,3.3054,3.1251
2022-04-12,2.1054,3.7846,2.945
2022-04-13,2.2463,2.9391,2.5927
2022-04-14,1.9896,2.5757,2.2826
2022-04-15,2.1135,2.77,2.4418
2022-04-16,2.5888,3.2614,2.9251
2022-04-17,2.3447,2.6197,2.4822
2022-04-18,2.2919,2.998,2.645
2022-04-19,3.0999,3.2087,3.1543
2022-04-20,2.727,3.1292,2.9281
2022-04-21,2.5413,2.8868,2.7141
2022-04-22,1.7585,2.3623,2.0604
2022-04-23,2.0516,2.6826,2.3671
2022-04-24,1.9271,2.4757,2.2014
2022-04-25,2.5253,3.3917,2.9585
2022-04-26,1.8907,2.5772,2.2339
2022-04-27,2.0744,2.5704,2.3224
2022-04-28,2.3534,3.1274,2.7404
2022-04-29,2.1502,2.9997,2.5749
2022-04-30,1.9876,3.053,2.5203
2022-05-01,2.2578,2.8942,2.576
2022-05-02,2.4489,3.0643,2.7566
