date,btc_price,realized_cap_usd,lth_realized_cap_usd,sth_realized_cap_usd
2015-01-29,234.140894579057,4257781635.91217,3014155684.74278,1243625933.8262851
2015-01-30,227.435079866942,4252849044.62732,3018028199.65648,1234820874.516242
2015-01-31,216.661493081224,4246028387.12261,3023076475.21809,1222951950.098168
2015-02-01,227.215880846913,4245896902.72635,3030525096.25352,1215371805.317745
2015-02-02,238.888244353622,4245107347.01936,3030260373.3009,1214847078.619227
2015-02-03,228.170783062756,4243711694.65387,3035801198.99244,1207910528.686496
2015-02-04,227.413695746619,4240416429.38109,3036390584.63023,1204025903.768588
2015-02-05,216.652884237769,4235510020.2189,3035444474.39905,1200065610.282819
2015-02-06,222.782326749036,4235392804.98647,3038386067.61713,1197006773.85869
2015-02-07,228.81604404432,4234949509.26846,3042642482.39824,1192307115.934923
2015-02-08,224.043052040395,4234033948.44689,3049811237.57254,1184222658.679256
2015-02-09,220.746232372678,4230990676.83162,3050943050.42933,1180047644.8982482
2015-02-10,220.898643383192,4229736736.27982,3053310872.63186,1176425929.841388
2015-02-11,219.915894999565,4226299556.46124,3057444416.56621,1168855184.242686
2015-02-12,222.730732214727,4225321102.36823,3059691988.06728,1165629144.745252
2015-02-13,236.211753155932,4226208689.68723,3059973337.33427,1166235325.473628
2015-02-14,256.9579253513,4228015619.35142,3059974324.13364,1168041298.3774538
2015-02-15,235.558310659537,4227003888.61775,3061221220.48745,1165782603.625747
2015-02-16,233.926203485919,4225585172.04612,3060277607.02377,1165307676.4841661
2015-02-17,244.250555148108,4226347459.67797,3065349719.01676,1160997736.440023
2015-02-18,236.724403808332,4226058702.14847,3067211267.8836,1158847364.788207
2015-02-19,240.464724160133,4218053123.18814,3054307909.41801,1163745204.161122
2015-02-20,244.904421993006,4225103307.68334,3060325989.36782,1164777316.953051
2015-02-21,245.639535020527,4225648028.1976,3065716145.14104,1159931967.676351
2015-02-22,237.013727198022,4224469115.55976,3075680082.756,1148789095.024079
2015-02-23,241.400249183473,4222882793.42512,3073225654.44896,1149657055.117592
2015-02-24,239.81619784617,4221316528.69133,3072520354.3655,1148796146.084964
2015-02-25,238.144959850153,4216939686.21254,3068365159.61048,1148574534.0756829
2015-02-26,237.026890803584,4216246811.95244,3069316935.50568,1146929836.2074609
2015-02-27,254.524248055764,4218395857.74502,3069478598.08233,1148917211.452634
2015-02-28,255.190399632925,4217966617.80938,3068392435.28565,1149574238.3609319
2015-03-01,261.442621102367,4221401235.27778,3067748175.57803,1153653129.6394691
2015-03-02,276.904779787956,4224459500.19635,3067048365.12662,1157411157.827914
2015-03-03,282.79462109708,4219988760.73845,3056228672.01829,1163760064.743767
2015-03-04,273.266893807169,4220806777.18923,3058917089.76788,1161889750.3955429
2015-03-05,276.962909014191,4218891055.63629,3052418521.38822,1166472533.787712
2015-03-06,273.245670757607,4220468875.39792,3053120765.44413,1167348089.1945162
2015-03-07,276.94490403045,4216600794.64541,3046916353.24084,1169684517.09414
2015-03-08,275.47637778122,4212399889.35935,3040651550.98994,1171748355.724173
2015-03-09,290.385012464833,4209267314.8407,3044527910.31269,1164739384.094149
2015-03-10,292.234721966485,4218589820.44718,3043096197.82608,1175493618.565566
2015-03-11,296.790683379287,4222506783.77754,3046592857.45842,1175913892.396922
2015-03-12,295.71516814434,4234797558.4137,3052861618.73624,1181936024.442918
2015-03-13,283.309264141822,4229024454.47732,3047255865.065,1181768688.933616
2015-03-14,282.714236895228,4229577219.30012,3053026703.67197,1176550499.3564591
2015-03-15,287.162559360781,4230598820.50296,3053285869.71521,1177312907.303484
2015-03-16,291.199988376731,4229833583.77525,3057989753.08986,1171843898.614081
2015-03-17,285.188942977154,4230706491.11728,3060717458.99508,1169988967.4304821
2015-03-18,257.359681056435,4225012154.34833,3058949832.67653,1166062307.447233
2015-03-19,262.037758203903,4223224901.14438,3069774854.30398,1153450075.065073
2015-03-20,262.506448036766,4222350182.87438,3070489280.15827,1151860840.304685
2015-03-21,260.725863238597,4222471078.32323,3071981560.79451,1150489551.431922
2015-03-22,268.567775053706,4222896944.83889,3072730710.79645,1150166183.813139
2015-03-23,267.070101181274,4222412748.83755,3072690583.4345,1149722227.2575681
2015-03-24,245.814653851155,4218818788.54277,3072118399.29551,1146700310.0379028
2015-03-25,246.377932084561,4216427248.18227,3069810201.04574,1146617047.091486
2015-03-26,249.406950057081,4214739552.0521,3070163680.50607,1144575798.753126
2015-03-27,247.062633672772,4213571179.70501,3068892360.80695,1144678705.8921359
2015-03-28,253.067479795123,4213995227.39467,3069870347.96242,1144124842.803577
2015-03-29,242.653926393489,4213404840.56358,3074215352.90031,1139189497.814492
2015-03-30,248.159199435361,4212182925.08702,3074653892.69596,1137528992.713378
2015-03-31,244.681899157694,4211261836.52385,3077479115.53214,1133782740.497091
2015-04-01,247.171610023695,4202181325.54421,3066650385.90726,1135530974.255554
2015-04-02,253.517267987472,4204036524.3506,3066128120.16997,1137908430.690447
2015-04-03,254.418209008103,4203178689.95715,3066561804.70571,1136616937.3852232
2015-04-04,253.836932590118,4204135590.08953,3068085202.60438,1136050367.143195
2015-04-05,260.794183654991,4205232427.36556,3068521232.32959,1136711175.866193
2015-04-06,255.876907049085,4205255732.8887,3068269690.98254,1136986006.40421
2015-04-07,253.916693452976,4205072083.50284,3068327627.0186,1136744531.022655
2015-04-08,245.39207278576,4203879147.58644,3070926392.26659,1132952814.040672
2015-04-09,243.464074481051,4200771972.61413,3070894330.5541,1129877688.465642
2015-04-10,236.300607027942,4190944485.03882,3055830922.20576,1135113585.22146
2015-04-11,236.994656565877,4190687443.01165,3056973318.14037,1133714141.508433
2015-04-12,236.685472574944,4188999521.0431,3055722323.44691,1133277224.033585
2015-04-13,224.733687860142,4183762936.31594,3056520131.17178,1127242745.225201
2015-04-14,219.199872428885,4180541639.1129,3059667795.62789,1120873830.421871
2015-04-15,223.735949018315,4168795641.48565,3045791585.29452,1123004058.6672192
2015-04-16,228.310457040882,4168296998.36984,3049897944.81432,1118399009.5240571
2015-04-17,222.676492906216,4166224136.81251,3051819616.96772,1114404454.096511
2015-04-18,223.457987382011,4166256262.17255,3056835207.34424,1109421030.279652
2015-04-19,222.593754731546,4166282129.38162,3058626714.51036,1107655429.857321
2015-04-20,224.516104568847,4164840322.16043,3058054720.80505,1106785508.303479
2015-04-21,236.176204496744,4164577387.72972,3058141700.94781,1106435633.74561
2015-04-22,234.033020483586,4164289262.89834,3059344231.9397,1104944982.689799
2015-04-23,236.067894710619,4165486669.00472,3046168634.48158,1119318048.1869159
2015-04-24,231.131522376691,4164344328.44462,3051549496.03746,1112794875.084708
2015-04-25,226.300129721107,4163934463.44801,3052852381.93941,1111082043.927119
2015-04-26,219.985881505856,4162474431.09495,3052794211.99319,1109680239.483407
2015-04-27,227.420895229266,4161268845.05434,3050792923.02313,1110475928.1134942
2015-04-28,225.400783145217,4160743897.25937,3051557488.57585,1109186469.789641
2015-04-29,225.472529404053,4160275501.05881,3054369021.128,1105906535.472659
2015-04-30,236.31126415132,4161619169.46222,3055887467.18736,1105731770.971086
2015-05-01,232.083518300565,4161233823.5711,3056803628.47714,1104430184.560212
2015-05-02,234.972882499311,4161748101.19328,3087394369.41038,1074353731.249186
2015-05-03,240.422745292043,4163202399.34646,3089551301.4617,1073651176.409076
2015-05-04,238.846970593072,4163380138.63928,3090086351.13698,1073293852.1955811
2015-05-05,235.958639530977,4162634092.5179,3090021187.26558,1072612961.67132
2015-05-06,229.255589867336,4162036636.54699,3094727167.30534,1067309541.1490381
2015-05-07,237.248000492583,4162038616.76924,3096982540.99204,1065056071.892195
2015-05-08,244.264222488293,4163374910.60029,3120695273.97268,1042679616.757231
2015-05-09,242.457307617779,4163967404.16878,3131015235.65865,1032952235.2537271
