date,event,btc_price
10/20/2015,,270.8651487
10/21/2015,,268.0599525
10/22/2015,,275.5001861
10/23/2015,,278.8518557
10/24/2015,,283.557116
10/25/2015,,284.6098029
10/26/2015,,286.9373188
10/27/2015,,295.2666259
10/28/2015,,304.7024232
10/29/2015,,314.6154463
10/30/2015,,328.5712847
10/31/2015,,313.5813346
11/1/2015,,328.0675593
11/2/2015,,363.8100117
11/3/2015,,404.6082278
11/4/2015,,409.8819659
11/5/2015,,387.4835289
11/6/2015,,375.3174771
11/7/2015,,385.2821293
11/8/2015,,373.9471863
11/9/2015,,380.3060687
11/10/2015,,338.4721911
11/11/2015,,312.4187102
11/12/2015,,337.3894606
11/13/2015,,338.0894603
11/14/2015,,333.7590053
11/15/2015,,320.4279685
11/16/2015,,331.9645784
11/17/2015,,336.2631474
11/18/2015,,335.5943867
11/19/2015,,326.4175954
11/20/2015,,322.2578995
11/21/2015,,327.7675363
11/22/2015,,324.9744914
11/23/2015,,323.869884
11/24/2015,,320.6640721
11/25/2015,,329.5263951
11/26/2015,,353.7062623
11/27/2015,,358.5267557
11/28/2015,,358.0881175
11/29/2015,,372.9131605
11/30/2015,,377.0225971
12/1/2015,,362.866934
12/2/2015,,359.1984213
12/3/2015,,361.1699703
12/4/2015,,363.6204234
12/5/2015,,389.173733
12/6/2015,,389.7844255
12/7/2015,,396.1005925
12/8/2015,,419.8824977
12/9/2015,,418.2538024
12/10/2015,,415.3107053
12/11/2015,,455.1193323
12/12/2015,,436.0493349
12/13/2015,,432.9788637
12/14/2015,,443.8141853
12/15/2015,,465.3455722
12/16/2015,,454.9701626
12/17/2015,,455.9453973
12/18/2015,,463.4289057
12/19/2015,,462.1077108
12/20/2015,,442.5669144
12/21/2015,,437.9286319
12/22/2015,,435.3787272
12/23/2015,,442.6304326
12/24/2015,,456.1878592
12/25/2015,,455.8647069
12/26/2015,,417.1098344
12/27/2015,,422.826136
12/28/2015,,420.9777086
12/29/2015,,432.2733479
12/30/2015,,425.2744096
12/31/2015,,429.7227059
1/1/2016,,434.453776
1/2/2016,,433.4774351
1/3/2016,,429.318951
1/4/2016,,433.4152719
1/5/2016,,432.4370521
1/6/2016,,429.6119697
1/7/2016,,458.5295806
1/8/2016,,454.0693805
1/9/2016,,449.6233321
1/10/2016,,449.476896
1/11/2016,,449.1850046
